MONTH,DAY_OF_WEEK,DEP_DEL15,DISTANCE_GROUP,DEP_TIME_BLK,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND
4,7,0,10,1600-1659,1,22,180,JetBlue Airways,24000,30000,1532,2500000,3500000,0.00019,0.00028,13,Denver International,39.86,-104.67,NONE,0.12,0.0,0.0,44.0,3.9
2,2,0,2,0800-0859,1,10,143,Southwest Airlines Co.,22000,110000,5149,3100000,12000000,0.00012,0.0003,12,Los Angeles International,33.94,-118.41,NONE,0.0,0.0,0.0,37.0,11.4
12,5,1,2,1700-1759,5,7,165,Alaska Airlines Inc.,15000,25000,798,1900000,2600000,0.00021,0.00033,7,Seattle/Tacoma International,47.45,-122.31,San Francisco International,0.0,1.6,2.4,32.0,13.9
9,6,1,5,2200-2259,5,15,70,SkyWest Airlines Inc.,17000,60000,2170,2100000,2800000,0.0003,0.00025,22,San Francisco International,37.62,-122.38,Seattle/Tacoma International,0.0,0.0,0.0,63.0,5.7
11,2,0,3,1000-1059,1,12,165,Alaska Airlines Inc.,30000,25000,1596,3000000,2600000,0.00021,0.00033,8,Chicago O'Hare International,41.98,-87.9,NONE,0.0,0.0,0.0,48.0,6.4
12,3,0,10,1500-1559,2,19,190,Delta Air Lines Inc.,33000,85000,5968,3400000,11000000,0.00018,0.0004,8,Hartsfield-Jackson Atlanta International,33.64,-84.43,Chicago O'Hare International,0.07,0.0,0.0,29.0,5.8
5,6,0,1,1400-1459,1,14,140,Delta Air Lines Inc.,15000,85000,2713,1800000,11000000,0.00018,0.0004,7,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.0,0.0,0.0,76.0,7.0
11,7,1,8,1100-1159,1,7,150,JetBlue Airways,13000,30000,830,1500000,3500000,0.00019,0.00028,14,Logan International,42.36,-71.01,NONE,0.03,2.8,4.4,17.0,7.9
8,5,1,1,1600-1659,2,8,143,Southwest Airlines Co.,15000,110000,3511,1800000,12000000,0.00012,0.0003,5,Phoenix Sky Harbor International,33.43,-112.01,Miami International,0.0,0.0,0.0,87.0,9.6
1,3,0,11,1000-1059,2,10,140,Delta Air Lines Inc.,17000,85000,3074,2100000,11000000,0.00018,0.0004,14,San Francisco International,37.62,-122.38,McCarran International,0.0,0.0,0.0,42.0,6.8
9,1,0,7,0800-0859,1,3,150,American Airlines Inc.,13000,90000,2489,1500000,10500000,0.00016,0.00035,7,Logan International,42.36,-71.01,NONE,0.0,0.0,0.0,59.0,3.1
10,7,0,1,0700-0759,3,7,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,16,Denver International,39.86,-104.67,Dallas/Fort Worth International,0.0,0.0,0.0,38.0,12.5
10,2,1,2,0900-0959,5,9,150,JetBlue Airways,15000,30000,957,2200000,3500000,0.00019,0.00028,9,John F. Kennedy International,40.64,-73.78,Hartsfield-Jackson Atlanta International,0.0,0.0,0.0,32.0,10.6
1,4,1,3,1600-1659,1,8,150,JetBlue Airways,13000,30000,830,1500000,3500000,0.00019,0.00028,15,Logan International,42.36,-71.01,NONE,0.02,1.8,2.7,16.0,8.1
9,2,1,4,0800-0859,1,12,150,American Airlines Inc.,30000,90000,5745,3000000,10500000,0.00016,0.00035,16,Chicago O'Hare International,41.98,-87.9,NONE,0.0,0.0,0.0,55.0,9.5
3,7,0,6,1100-1159,1,16,150,JetBlue Airways,24000,30000,1532,2500000,3500000,0.00019,0.00028,5,Denver International,39.86,-104.67,NONE,0.58,0.0,0.0,37.0,11.0
10,3,0,3,1100-1159,2,19,130,JetBlue Airways,30000,30000,1915,3000000,3500000,0.00019,0.00028,6,Chicago O'Hare International,41.98,-87.9,Seattle/Tacoma International,0.0,0.0,0.0,47.0,10.0
3,7,0,8,2300-2359,1,12,155,United Air Lines Inc.,15000,70000,2234,2200000,8500000,0.00017,0.00036,14,John F. Kennedy International,40.64,-73.78,NONE,0.12,0.0,0.0,42.0,8.9
2,5,0,8,0700-0759,1,8,165,Alaska Airlines Inc.,14000,25000,745,1700000,2600000,0.00021,0.00033,14,McCarran International,36.08,-115.15,NONE,0.0,0.0,0.0,42.0,8.1
5,3,0,2,0800-0859,1,9,163,Southwest Airlines Co.,30000,110000,7021,3000000,12000000,0.00012,0.0003,12,Chicago O'Hare International,41.98,-87.9,NONE,0.0,0.0,0.0,34.0,7.9
10,7,0,7,1000-1059,7,11,155,United Air Lines Inc.,22000,70000,3277,3100000,8500000,0.00017,0.00036,10,Los Angeles International,33.94,-118.41,Denver International,0.0,0.0,0.0,49.0,12.2
1,3,1,2,0900-0959,2,8,180,Delta Air Lines Inc.,22000,85000,3979,3100000,11000000,0.00018,0.0004,6,Los Angeles International,33.94,-118.41,Miami International,0.0,0.0,0.0,31.0,5.3
12,7,0,5,0001-0559,1,4,70,SkyWest Airlines Inc.,15000,60000,1915,1800000,2800000,0.0003,0.00025,13,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.0,0.0,0.0,55.0,2.9
1,5,0,5,1800-1859,2,14,143,Southwest Airlines Co.,27000,110000,6319,2800000,12000000,0.00012,0.0003,16,Dallas/Fort Worth International,32.9,-97.04,Denver International,0.0,0.0,0.0,28.0,4.4
12,7,0,11,0600-0659,2,5,143,Southwest Airlines Co.,17000,110000,3979,2100000,12000000,0.00012,0.0003,17,San Francisco International,37.62,-122.38,Seattle/Tacoma International,1.54,0.0,0.0,19.0,10.8
5,2,0,9,1000-1059,1,11,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,20,Denver International,39.86,-104.67,NONE,0.0,0.0,0.0,63.0,5.5
8,5,0,6,2100-2159,2,23,143,Southwest Airlines Co.,33000,110000,7723,3400000,12000000,0.00012,0.0003,6,Hartsfield-Jackson Atlanta International,33.64,-84.43,Phoenix Sky Harbor International,0.0,0.0,0.0,86.0,8.3
5,3,0,4,0600-0659,1,3,155,United Air Lines Inc.,13000,70000,1936,1500000,8500000,0.00017,0.00036,9,Logan International,42.36,-71.01,NONE,0.61,0.0,0.0,55.0,7.0
4,1,0,6,1500-1559,1,17,140,Delta Air Lines Inc.,33000,85000,5968,3400000,11000000,0.00018,0.0004,10,Hartsfield-Jackson Atlanta International,33.64,-84.43,NONE,0.0,0.0,0.0,60.0,4.4
6,4,1,4,0900-0959,1,9,70,SkyWest Airlines Inc.,24000,60000,3064,2500000,2800000,0.0003,0.00025,10,Denver International,39.86,-104.67,NONE,0.0,0.0,0.0,55.0,1.1
6,7,1,10,0900-0959,3,5,135,United Air Lines Inc.,15000,70000,2234,2200000,8500000,0.00017,0.00036,18,John F. Kennedy International,40.64,-73.78,Logan International,0.0,0.0,0.0,64.0,12.1
6,4,0,11,2100-2159,2,13,150,JetBlue Airways,15000,30000,957,2200000,3500000,0.00019,0.00028,6,John F. Kennedy International,40.64,-73.78,Logan International,0.0,0.0,0.0,67.0,10.4
7,5,0,4,1100-1159,2,18,180,Delta Air Lines Inc.,30000,85000,5426,3000000,11000000,0.00018,0.0004,4,Chicago O'Hare International,41.98,-87.9,Logan International,0.0,0.0,0.0,74.0,6.4
6,1,1,9,1300-1359,1,9,155,United Air Lines Inc.,14000,70000,2085,1700000,8500000,0.00017,0.00036,8,McCarran International,36.08,-115.15,NONE,0.07,0.0,0.0,81.0,10.5
1,7,0,11,0800-0859,4,2,163,Southwest Airlines Co.,14000,110000,3277,1700000,12000000,0.00012,0.0003,14,Miami International,25.79,-80.29,Miami International,0.0,1.3,1.9,17.0,1.4
9,3,0,4,1000-1059,1,9,143,Southwest Airlines Co.,14000,110000,3277,1700000,12000000,0.00012,0.0003,19,McCarran International,36.08,-115.15,NONE,0.15,0.0,0.0,61.0,7.8
2,5,1,10,1600-1659,2,12,150,JetBlue Airways,30000,30000,1915,3000000,3500000,0.00019,0.00028,10,Chicago O'Hare International,41.98,-87.9,John F. Kennedy International,0.0,0.0,0.5,14.0,5.4
2,1,0,4,1300-1359,2,11,50,SkyWest Airlines Inc.,14000,60000,1787,1700000,2800000,0.0003,0.00025,13,Miami International,25.79,-80.29,Los Angeles International,0.0,0.0,0.0,43.0,7.1
9,4,0,11,1500-1559,2,16,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,10,Denver International,39.86,-104.67,John F. Kennedy International,0.0,0.0,0.0,57.0,7.6
11,1,0,6,0800-0859,1,4,170,American Airlines Inc.,17000,90000,3255,2100000,10500000,0.00016,0.00035,12,San Francisco International,37.62,-122.38,NONE,0.24,0.0,0.0,59.0,8.5
1,2,0,4,0800-0859,6,3,170,American Airlines Inc.,14000,90000,2681,1700000,10500000,0.00016,0.00035,10,McCarran International,36.08,-115.15,Denver International,0.0,6.2,9.3,25.0,8.3
6,7,1,8,1200-1259,2,15,140,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,16,Denver International,39.86,-104.67,Hartsfield-Jackson Atlanta International,0.17,0.0,0.0,73.0,3.3
6,6,0,1,0600-0659,1,7,70,SkyWest Airlines Inc.,14000,60000,1787,1700000,2800000,0.0003,0.00025,12,Miami International,25.79,-80.29,NONE,0.29,0.0,0.0,78.0,11.4
2,5,0,3,1300-1359,1,15,123,Southwest Airlines Co.,30000,110000,7021,3000000,12000000,0.00012,0.0003,21,Chicago O'Hare International,41.98,-87.9,NONE,0.23,0.0,0.0,24.0,7.7
11,3,0,7,0001-0559,2,9,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,13,Denver International,39.86,-104.67,McCarran International,0.0,0.0,2.1,30.0,8.5
10,5,0,1,1400-1459,1,7,135,United Air Lines Inc.,14000,70000,2085,1700000,8500000,0.00017,0.00036,18,McCarran International,36.08,-115.15,NONE,0.0,0.0,0.0,51.0,8.3
3,3,0,4,0900-0959,1,6,150,American Airlines Inc.,15000,90000,2872,2200000,10500000,0.00016,0.00035,8,John F. Kennedy International,40.64,-73.78,NONE,0.0,0.0,0.0,33.0,8.7
1,7,0,7,1100-1159,1,8,180,Delta Air Lines Inc.,17000,85000,3074,2100000,11000000,0.00018,0.0004,14,San Francisco International,37.62,-122.38,NONE,0.14,1.2,3.4,28.0,5.6
12,4,0,3,1300-1359,2,8,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,14,Denver International,39.86,-104.67,Logan International,0.0,2.4,3.7,9.0,9.2
4,6,0,10,0600-0659,3,9,173,Southwest Airlines Co.,30000,110000,7021,3000000,12000000,0.00012,0.0003,19,Chicago O'Hare International,41.98,-87.9,Seattle/Tacoma International,0.0,0.0,0.0,42.0,6.0
12,3,0,10,1400-1459,1,8,160,Delta Air Lines Inc.,15000,85000,2713,2200000,11000000,0.00018,0.0004,5,John F. Kennedy International,40.64,-73.78,NONE,0.0,0.0,0.0,36.0,12.8
7,5,0,4,1100-1159,1,8,143,Southwest Airlines Co.,15000,110000,3511,1900000,12000000,0.00012,0.0003,4,Seattle/Tacoma International,47.45,-122.31,NONE,0.0,0.0,0.0,74.0,8.7
12,4,0,2,1800-1859,7,15,143,Southwest Airlines Co.,15000,110000,3511,2200000,12000000,0.00012,0.0003,7,John F. Kennedy International,40.64,-73.78,Seattle/Tacoma International,0.09,0.0,0.0,19.0,13.8
9,6,0,10,1300-1359,1,12,143,Southwest Airlines Co.,13000,110000,3043,1500000,12000000,0.00012,0.0003,18,Logan International,42.36,-71.01,NONE,0.0,0.0,0.0,59.0,6.7
8,2,1,6,1800-1859,5,15,90,SkyWest Airlines Inc.,22000,60000,2809,3100000,2800000,0.0003,0.00025,15,Los Angeles International,33.94,-118.41,San Francisco International,0.18,0.0,0.0,73.0,11.4
7,5,0,4,0001-0559,3,3,140,Delta Air Lines Inc.,15000,85000,2713,1900000,11000000,0.00018,0.0004,14,Seattle/Tacoma International,47.45,-122.31,Denver International,0.0,0.0,0.0,81.0,6.4
9,4,0,10,0600-0659,5,2,165,Alaska Airlines Inc.,13000,25000,691,1500000,2600000,0.00021,0.00033,17,Logan International,42.36,-71.01,Phoenix Sky Harbor International,0.0,0.0,0.0,51.0,10.1
8,5,0,10,1700-1759,6,9,50,SkyWest Airlines Inc.,14000,60000,1787,1700000,2800000,0.0003,0.00025,11,McCarran International,36.08,-115.15,Seattle/Tacoma International,0.08,0.0,0.0,71.0,9.5
5,4,0,4,1100-1159,6,13,170,JetBlue Airways,15000,30000,957,2200000,3500000,0.00019,0.00028,7,John F. Kennedy International,40.64,-73.78,Logan International,0.46,0.0,0.0,48.0,9.9
6,6,0,9,0900-0959,1,8,163,Southwest Airlines Co.,33000,110000,7723,3400000,12000000,0.00012,0.0003,16,Hartsfield-Jackson Atlanta International,33.64,-84.43,NONE,0.0,0.0,0.0,81.0,3.5
5,7,0,6,0900-0959,2,7,195,Alaska Airlines Inc.,14000,25000,745,1700000,2600000,0.00021,0.00033,10,Miami International,25.79,-80.29,San Francisco International,0.0,0.0,0.0,85.0,9.4
7,2,0,11,0600-0659,1,10,185,United Air Lines Inc.,17000,70000,2532,2100000,8500000,0.00017,0.00036,7,San Francisco International,37.62,-122.38,NONE,0.0,0.0,0.0,88.0,5.8
1,7,0,1,1600-1659,3,11,165,Alaska Airlines Inc.,15000,25000,798,1800000,2600000,0.00021,0.00033,19,Phoenix Sky Harbor International,33.43,-112.01,Phoenix Sky Harbor International,0.0,0.0,0.0,44.0,12.6
11,1,1,7,1400-1459,4,13,50,SkyWest Airlines Inc.,15000,60000,1915,2200000,2800000,0.0003,0.00025,12,John F. Kennedy International,40.64,-73.78,Dallas/Fort Worth International,0.0,0.0,0.0,43.0,11.7
11,1,0,5,2000-2059,7,15,150,American Airlines Inc.,22000,90000,4213,3100000,10500000,0.00016,0.00035,8,Los Angeles International,33.94,-118.41,San Francisco International,0.0,0.0,0.0,39.0,8.0
9,1,1,9,1800-1859,2,20,70,SkyWest Airlines Inc.,33000,60000,4213,3400000,2800000,0.0003,0.00025,11,Hartsfield-Jackson Atlanta International,33.64,-84.43,Miami International,0.0,0.0,0.0,69.0,10.0
2,2,0,10,1200-1259,3,12,150,American Airlines Inc.,15000,90000,2872,2200000,10500000,0.00016,0.00035,23,John F. Kennedy International,40.64,-73.78,San Francisco International,0.56,0.0,0.0,24.0,8.2
7,6,0,3,1300-1359,1,8,90,SkyWest Airlines Inc.,15000,60000,1915,1900000,2800000,0.0003,0.00025,9,Seattle/Tacoma International,47.45,-122.31,NONE,0.0,0.0,0.0,78.0,6.8
12,7,1,7,2000-2059,2,18,180,American Airlines Inc.,13000,90000,2489,1500000,10500000,0.00016,0.00035,11,Logan International,42.36,-71.01,Logan International,0.0,0.0,0.4,13.0,9.2
11,2,1,5,1400-1459,1,11,170,JetBlue Airways,15000,30000,957,1800000,3500000,0.00019,0.00028,11,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.0,0.0,0.0,48.0,6.7
1,6,0,5,0600-0659,1,3,160,Delta Air Lines Inc.,27000,85000,4883,2800000,11000000,0.00018,0.0004,4,Dallas/Fort Worth International,32.9,-97.04,NONE,0.0,0.0,0.0,40.0,5.9
2,1,0,8,1000-1059,1,12,155,United Air Lines Inc.,15000,70000,2234,1900000,8500000,0.00017,0.00036,23,Seattle/Tacoma International,47.45,-122.31,NONE,0.0,0.5,0.7,34.0,6.3
2,7,1,9,0900-0959,1,11,150,JetBlue Airways,13000,30000,830,1500000,3500000,0.00019,0.00028,6,Logan International,42.36,-71.01,NONE,0.0,0.0,0.0,29.0,21.0
8,4,0,1,1200-1259,2,10,150,American Airlines Inc.,24000,90000,4596,2500000,10500000,0.00016,0.00035,14,Denver International,39.86,-104.67,Hartsfield-Jackson Atlanta International,0.0,0.0,0.0,68.0,11.0
9,3,0,7,2000-2059,3,12,180,Delta Air Lines Inc.,22000,85000,3979,3100000,11000000,0.00018,0.0004,5,Los Angeles International,33.94,-118.41,Phoenix Sky Harbor International,0.0,0.0,0.0,81.0,11.0
1,5,0,4,1600-1659,1,13,165,Alaska Airlines Inc.,15000,25000,798,1800000,2600000,0.00021,0.00033,6,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.0,0.0,0.0,30.0,10.8
8,6,0,5,0900-0959,2,10,160,Delta Air Lines Inc.,17000,85000,3074,2100000,11000000,0.00018,0.0004,3,San Francisco International,37.62,-122.38,John F. Kennedy International,0.22,0.0,0.0,83.0,5.4
11,7,0,9,1700-1759,1,8,130,American Airlines Inc.,17000,90000,3255,2100000,10500000,0.00016,0.00035,20,San Francisco International,37.62,-122.38,NONE,1.4,0.0,0.0,45.0,11.5
8,1,0,10,0700-0759,2,5,123,Southwest Airlines Co.,14000,110000,3277,1700000,12000000,0.00012,0.0003,19,Miami International,25.79,-80.29,McCarran International,0.05,0.0,0.0,87.0,7.9
11,2,0,6,0700-0759,1,16,185,Alaska Airlines Inc.,17000,25000,904,2100000,2600000,0.00021,0.00033,4,San Francisco International,37.62,-122.38,NONE,0.07,0.0,0.0,47.0,12.5
2,2,1,11,1500-1559,5,12,175,United Air Lines Inc.,14000,70000,2085,1700000,8500000,0.00017,0.00036,21,McCarran International,36.08,-115.15,Chicago O'Hare International,0.0,0.0,0.0,37.0,13.4
11,6,0,9,1200-1259,1,7,180,Delta Air Lines Inc.,13000,85000,2351,1500000,11000000,0.00018,0.0004,20,Logan International,42.36,-71.01,NONE,0.63,0.0,0.0,36.0,12.3
4,2,0,10,0900-0959,2,18,50,SkyWest Airlines Inc.,33000,60000,4213,3400000,2800000,0.0003,0.00025,22,Hartsfield-Jackson Atlanta International,33.64,-84.43,Hartsfield-Jackson Atlanta International,0.0,0.0,0.0,45.0,9.5
2,6,0,9,1100-1159,2,7,123,Southwest Airlines Co.,30000,110000,7021,3000000,12000000,0.00012,0.0003,17,Chicago O'Hare International,41.98,-87.9,Denver International,0.0,1.1,1.6,27.0,3.0
7,3,0,8,1300-1359,2,12,180,Delta Air Lines Inc.,17000,85000,3074,2100000,11000000,0.00018,0.0004,22,San Francisco International,37.62,-122.38,Los Angeles International,0.0,0.0,0.0,95.0,6.6
4,7,0,8,1400-1459,2,7,50,SkyWest Airlines Inc.,13000,60000,1660,1500000,2800000,0.0003,0.00025,16,Logan International,42.36,-71.01,McCarran International,0.0,0.0,0.0,55.0,8.5
10,4,0,1,0800-0859,3,9,180,American Airlines Inc.,33000,90000,6319,3400000,10500000,0.00016,0.00035,15,Hartsfield-Jackson Atlanta International,33.64,-84.43,Miami International,0.0,0.0,0.0,72.0,11.1
7,5,1,11,1900-1959,6,10,150,American Airlines Inc.,14000,90000,2681,1700000,10500000,0.00016,0.00035,7,Miami International,25.79,-80.29,San Francisco International,0.4,0.0,0.0,78.0,6.3
2,2,0,1,1000-1059,5,6,143,Southwest Airlines Co.,13000,110000,3043,1500000,12000000,0.00012,0.0003,11,Logan International,42.36,-71.01,Dallas/Fort Worth International,0.0,0.0,0.0,12.0,12.3
9,2,1,6,2100-2159,7,11,50,SkyWest Airlines Inc.,13000,60000,1660,1500000,2800000,0.0003,0.00025,23,Logan International,42.36,-71.01,Logan International,0.15,0.0,0.0,52.0,5.0
8,7,0,7,0700-0759,2,5,155,United Air Lines Inc.,15000,70000,2234,1800000,8500000,0.00017,0.00036,20,Phoenix Sky Harbor International,33.43,-112.01,McCarran International,0.0,0.0,0.0,95.0,7.5
5,7,1,5,1500-1559,5,17,165,Alaska Airlines Inc.,27000,25000,1436,2800000,2600000,0.00021,0.00033,8,Dallas/Fort Worth International,32.9,-97.04,Chicago O'Hare International,0.02,0.0,0.0,73.0,3.7
8,4,1,2,2300-2359,1,21,150,American Airlines Inc.,17000,90000,3255,2100000,10500000,0.00016,0.00035,24,San Francisco International,37.62,-122.38,NONE,0.0,0.0,0.0,77.0,5.8
2,3,1,10,1800-1859,2,12,150,JetBlue Airways,13000,30000,830,1500000,3500000,0.00019,0.00028,14,Logan International,42.36,-71.01,San Francisco International,0.0,0.0,0.0,9.0,9.1
11,2,0,1,1900-1959,1,12,173,Southwest Airlines Co.,22000,110000,5149,3100000,12000000,0.00012,0.0003,11,Los Angeles International,33.94,-118.41,NONE,0.0,0.0,0.0,55.0,1.9
8,2,0,8,0800-0859,1,5,185,Alaska Airlines Inc.,27000,25000,1436,2800000,2600000,0.00021,0.00033,5,Dallas/Fort Worth International,32.9,-97.04,NONE,0.0,0.0,0.0,76.0,8.4
4,3,0,9,2300-2359,1,17,160,Delta Air Lines Inc.,15000,85000,2713,2200000,11000000,0.00018,0.0004,2,John F. Kennedy International,40.64,-73.78,NONE,0.0,0.0,0.0,40.0,6.2
11,4,0,6,2200-2259,5,32,50,SkyWest Airlines Inc.,33000,60000,4213,3400000,2800000,0.0003,0.00025,7,Hartsfield-Jackson Atlanta International,33.64,-84.43,John F. Kennedy International,0.24,0.0,0.0,51.0,12.7
1,2,1,11,1800-1859,2,16,70,SkyWest Airlines Inc.,27000,60000,3447,2800000,2800000,0.0003,0.00025,13,Dallas/Fort Worth International,32.9,-97.04,Logan International,0.0,0.0,0.0,48.0,8.8
8,3,0,8,1700-1759,1,9,143,Southwest Airlines Co.,15000,110000,3511,1800000,12000000,0.00012,0.0003,4,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.2,0.0,0.0,83.0,9.3
12,6,1,10,1000-1059,3,3,123,Southwest Airlines Co.,14000,110000,3277,1700000,12000000,0.00012,0.0003,10,Miami International,25.79,-80.29,John F. Kennedy International,0.43,0.0,0.0,38.0,7.5
11,6,0,7,1600-1659,1,16,180,JetBlue Airways,15000,30000,957,1800000,3500000,0.00019,0.00028,12,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.0,0.0,0.0,52.0,6.6
4,2,0,11,1000-1059,1,4,50,SkyWest Airlines Inc.,15000,60000,1915,1800000,2800000,0.0003,0.00025,3,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.47,0.0,0.0,64.0,8.4
1,4,0,10,1200-1259,1,13,165,Alaska Airlines Inc.,15000,25000,798,1800000,2600000,0.00021,0.00033,24,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.12,0.0,0.0,32.0,7.2
2,3,0,9,1500-1559,1,12,160,Delta Air Lines Inc.,24000,85000,4340,2500000,11000000,0.00018,0.0004,15,Denver International,39.86,-104.67,NONE,0.0,0.0,0.0,11.0,7.3
6,3,0,3,0900-0959,1,7,90,SkyWest Airlines Inc.,15000,60000,1915,2200000,2800000,0.0003,0.00025,12,John F. Kennedy International,40.64,-73.78,NONE,0.0,0.0,0.0,50.0,9.9
2,6,0,10,1000-1059,1,5,150,JetBlue Airways,15000,30000,957,1900000,3500000,0.00019,0.00028,10,Seattle/Tacoma International,47.45,-122.31,NONE,0.0,0.0,0.6,29.0,1.0
4,3,0,9,0800-0859,6,5,50,SkyWest Airlines Inc.,24000,60000,3064,2500000,2800000,0.0003,0.00025,18,Denver International,39.86,-104.67,Dallas/Fort Worth International,0.0,0.0,0.0,42.0,7.7
5,1,0,7,1900-1959,3,14,155,United Air Lines Inc.,14000,70000,2085,1700000,8500000,0.00017,0.00036,10,McCarran International,36.08,-115.15,Los Angeles International,0.0,0.0,0.0,76.0,12.8
4,3,1,11,1300-1359,2,15,143,Southwest Airlines Co.,33000,110000,7723,3400000,12000000,0.00012,0.0003,9,Hartsfield-Jackson Atlanta International,33.64,-84.43,Miami International,0.0,0.0,0.0,58.0,10.2
5,7,0,11,1000-1059,2,8,165,Alaska Airlines Inc.,15000,25000,798,1800000,2600000,0.00021,0.00033,11,Phoenix Sky Harbor International,33.43,-112.01,Hartsfield-Jackson Atlanta International,0.0,0.0,0.0,75.0,5.7
8,6,0,3,0600-0659,3,5,173,Southwest Airlines Co.,15000,110000,3511,1900000,12000000,0.00012,0.0003,9,Seattle/Tacoma International,47.45,-122.31,John F. Kennedy International,0.0,0.0,0.0,74.0,13.1
